index	date	title_es	title_eu	summary_es	summary_eu
0	2026-08-07	La familia niega que el Ayuntamiento investigara el caso Mítika	Familiak ukatu du Udalak Mitika kasua ikertu izana	GasteizBerri recoge la respuesta de la familia a las declaraciones de la alcaldesa sobre la investigación municipal.	GasteizBerrik familiaren erantzuna jaso du, alkateak udal ikerketari buruz egindako adierazpenen harira.
1	2026-08-04	La alcaldesa responde sobre las agresiones previas en Mítika	Alkateak Mitikako aurretiazko erasoei buruz erantzun du	GasteizBerri recoge las declaraciones de Maider Etxebarria, quien afirma que no le constaba que se conocieran esos antecedentes.	GasteizBerrik Maider Etxebarriaren adierazpenak jaso ditu: alkateak dio ez zuela aurrekari horien ezagutzaren berri.
2	2026-07-08	La familia cuestiona la respuesta municipal sobre Mítika	Familiak Udalaren erantzuna auzitan jarri du Mitika kasuan	GasteizBerri informa de las críticas de la familia al Ayuntamiento y del debate sobre las advertencias anteriores a la muerte de Kerman.	GasteizBerrik familiak Udalari egindako kritikak eta Kerman hil aurreko ohartarazpenei buruzko eztabaida jaso ditu.
3	2026-06-14	El informe municipal al Ararteko recoge 13 agresiones de porteros	Arartekoari igorritako udal txostenak atezainen 13 eraso jaso ditu	GasteizBerri aborda la información remitida al Ararteko sobre intervenciones por agresiones anteriores a la muerte de Kerman.	GasteizBerrik Kerman hil aurreko erasoengatik egindako esku hartzeei buruz Arartekoari helarazitako informazioa aztertu du.
4	2026-08-04	La alcaldesa afirma que desconocía los antecedentes de Mítika	Alkateak dio ez zekiela Mitikako aurrekarien berri	elDiario.es recoge las declaraciones de la alcaldesa y las reclamaciones de la familia sobre la actuación del Ayuntamiento.	elDiario.es-ek alkatearen adierazpenak eta familiak Udalaren jardunari buruz egindako eskaerak jaso ditu.
5	2026-07-16	La familia reúne 22 antecedentes de agresiones en Mítika	Familiak Mitikako erasoen 22 aurrekari bildu ditu	elDiario.es informa de la documentación reunida por la familia sobre presuntas agresiones anteriores atribuidas a porteros del local.	elDiario.es-ek familiak bildutako dokumentazioaren berri eman du, lokaleko atezainei egotzitako ustezko aurretiazko erasoei buruz.
6	2026-07-15	La subcontratación de la seguridad de Mítika, bajo examen	Mitikako segurtasunaren azpikontratazioa aztergai	elDiario.es examina la relación entre la seguridad del local y una empresa cuya actividad declarada era la reparación de vehículos.	elDiario.es-ek lokaleko segurtasunaren eta ibilgailuak konpontzea jarduera aitortutzat zuen enpresa baten arteko lotura aztertu du.
8	2026-01-01	El entramado empresarial vinculado a Baskonia y Alavés	Baskonia eta Alavesi lotutako enpresa sarea	elDiario.es describe la diversificación empresarial del grupo de Querejeta más allá de la actividad deportiva.	elDiario.es-ek Querejetaren taldeak kirol jardueratik harago dituen enpresa negozioak azaldu ditu.
9	2025-12-03	Seguridad prepara sanciones a Mítika y Le Basque	Segurtasun Sailak Mitika eta Le Basquerentzako zigorrak prestatu ditu	elDiario.es informa del expediente relacionado con la contratación del servicio de seguridad de la discoteca.	elDiario.es-ek diskotekako segurtasun zerbitzuaren kontratazioari lotutako espedientearen berri eman du.
10	2026-08-07	La familia rechaza que hubiera una investigación municipal sobre Mítika	Kerman Villateren familiak ukatu du Udalak Mitika kasua argitzeko barne ikerketarik egin izana	Berria recoge la distinción que hace la familia entre un expediente disciplinario y una investigación sobre lo sucedido.	Berriak familiaren azalpena jaso du: diziplina espedientea eta gertatutakoa argitzeko ikerketa bereizi ditu familiak.
11	2025-12-24	«El asesino de Kerman»: carta publicada en Berria	«Kermanen hiltzailea»: Berrian argitaratutako gutuna	Carta a la dirección de Berria que expresa una valoración sobre la muerte de Kerman y el tratamiento judicial del caso.	Berriako zuzendariari bidalitako gutunak Kermanen heriotzari eta auziaren tratamendu judizialari buruzko iritzia azaltzen du.
12	2026-01-19	La familia recurre al Supremo para que se juzgue al acusado por asesinato	Familiak Auzitegi Gorenera jo du akusatua erailketagatik epai dezaten	Berria informa del recurso de la familia y de su reclamación sobre la calificación penal de los hechos.	Berriak familiaren errekurtsoaren eta gertakarien kalifikazio penalari buruz egindako eskaeraren berri eman du.
13	2025-11-28	Entrevista a Roberto Villate y Arantza Beitia en Berria	Roberto Villateri eta Arantza Beitiari elkarrizketa Berrian	Los padres de Kerman relatan en Berria su dolor y su reacción ante la situación judicial del acusado.	Kermanen gurasoek beren mina eta akusatuaren egoera judizialaren aurrean duten jarrera azaldu dituzte Berrian.
14	2026-06-11	La búsqueda de la verdad social, judicial e institucional	Egia sozial, judizial eta instituzionalaren bila	Naiz Irratia recoge una conversación sobre la búsqueda de verdad y justicia en el caso de Kerman.	Naiz Irratiak Kermanen kasuan egia eta justizia bilatzeari buruzko elkarrizketa jaso du.
15	2025-12-13	Una concentración reclama justicia para Kerman Villate	Elkarretaratze batek justizia eskatu du Kerman Villaterentzat	Naiz informa de la movilización celebrada en Vitoria-Gasteiz para acompañar a la familia y reclamar justicia.	Naizek Gasteizen familiari babesa emateko eta justizia eskatzeko egindako mobilizazioaren berri eman du.
16	2026-08-02	Nuevos testimonios sobre agresiones anteriores en Mítika	Mitikako aurretiazko erasoei buruzko testigantza berriak	ORAIN recoge testimonios de jóvenes que denuncian agresiones de porteros anteriores a la muerte de Kerman.	ORAINek Kerman hil aurretik atezainen erasoak salatu zituzten gazteen testigantzak jaso ditu.
18	2026-08-07	La familia desmiente que el Ayuntamiento investigara internamente el caso	Familiak gezurtatu du Udalak kasua barnean ikertu izana	ORAIN recoge la respuesta de la familia a la alcaldesa y su petición de documentación y colaboración con la justicia.	ORAINek familiak alkateari emandako erantzuna jaso du, baita dokumentazioa eta justiziarekiko lankidetza eskatu izana ere.
