claim_id,claim_es,claim_eu,nature,sensitivity,sources_and_pages,verification_status,publicability,editorial_treatment
CLM-001,"Kerman Villate Beitia tenía 31 años y murió el 23 de febrero de 2025 tras el golpe propinado por un portero de Mitika.","Kerman Villate Beitiak 31 urte zituen eta 2025eko otsailaren 23an hil zen, Mitikako atezain batek emandako kolpearen ondorioz.",hecho documentado,alta,"SRC-055 pp. 3-15; SRC-057 pp. 8-15; SRC-029; SRC-026",contrastado con cobertura judicial y periodística prioritaria,publicable,"Redacción neutral y no gráfica."
CLM-002,"Kerman pasó el control, pero fue retenido fuera mientras sus amigos continuaron hacia el interior.","Kermanek kontrola igaro zuen, baina kanpoan geldiarazi zuten, lagunek barrurantz jarraitu zuten bitartean.",lectura de grabaciones,alta,"SRC-055 pp. 3-8; SRC-056 pp. 2-7; SRC-057 pp. 8-9",respaldado por materiales familiares; falta análisis policial original,publicable con voz propia,"Presentar como lo que observamos al revisar las grabaciones, sin mostrar fotogramas."
CLM-003,"Mientras esperaba, Kerman permaneció hablando con tranquilidad y sin que las imágenes mostraran una confrontación previa.","Zain zegoen bitartean, Kerman lasai hitz egiten egon zen, eta irudietan ez da aurretiko liskarrik ikusten.",lectura de grabaciones,alta,"SRC-055 pp. 8 y 12-14; SRC-056 pp. 7 y 11-13; SRC-057 pp. 9 y 12-15",respaldado por materiales familiares y síntesis periodísticas,publicable con voz propia,"Evitar afirmaciones absolutas sobre todo lo sucedido fuera del campo de visión."
CLM-004,"Antes del golpe se produjo una conversación entre trabajadores y unos gestos que consideramos relevantes para comprender lo ocurrido.","Kolpea baino lehen, langileen arteko elkarrizketa eta gertatutakoa ulertzeko garrantzitsutzat jotzen ditugun keinu batzuk izan ziren.",interpretación familiar,alta,"SRC-055 pp. 9-14 y 21-22; SRC-056 pp. 8-13; SRC-057 pp. 10-12",pendiente del informe policial original,publicable solo atribuida en primera persona,"No afirmar una preparación colectiva ni intenciones individuales como hecho acreditado."
CLM-005,"El portero golpeó inesperadamente a Kerman, que cayó de inmediato, y después volvió al interior del local.","Atezainak ustekabean jo zuen Kerman; berehala erori zen, eta atezaina lokal barrura itzuli zen ondoren.",hecho documentado,alta,"SRC-055 pp. 12-15; SRC-056 pp. 11-14; SRC-029",contrastado con la resolución de instrucción descrita por Berria,publicable,"Redacción sobria; sin imágenes ni detalles médicos gráficos."
CLM-006,"El juzgado acordó prisión provisional para el investigado.","Epaitegiak ikertua behin-behinean espetxeratzea erabaki zuen.",actuación judicial,alta,"SRC-055; SRC-029; SRC-026",contrastado,publicable,"Redacción neutral."
CLM-007,"El juez instructor apreció indicios para que los hechos fueran juzgados por un jurado como homicidio o asesinato; la resolución no era firme.","Instrukzio-epaileak zantzuak ikusi zituen gertakariak herri-epaimahai batek homizidio edo hilketa gisa epaitzeko; ebazpena ez zen irmoa.",actuación judicial,alta,"SRC-055 pp. 17-22; SRC-029",contrastado,publicable,"Identificar órgano y carácter no firme."
CLM-008,"La información forense citada en la instrucción relacionó la muerte con un traumatismo facial.","Instrukzioan aipatutako auzitegi-medikuntzako informazioak heriotza aurpegiko traumatismo batekin lotu zuen.",fuente oficial reproducida,alta,"SRC-055 p. 25; SRC-057 pp. 29-30; SRC-029",falta autopsia original; existe reproducción y referencia judicial,publicable de forma resumida,"No publicar autopsia ni detalles innecesarios."
CLM-009,"La Audiencia Provincial cambió el procedimiento y la calificación provisional y acordó la libertad bajo fianza.","Probintzia Auzitegiak prozedura eta behin-behineko kalifikazioa aldatu zituen, eta fidantzapeko askatasuna erabaki zuen.",actuación judicial,alta,"SRC-055 pp. 28-32; SRC-026; SRC-036",contrastado por varias coberturas; falta auto original,publicable,"Redacción neutral; no presentar la decisión como sentencia definitiva."
CLM-010,"El Tribunal Supremo inadmitió el recurso sin entrar en el fondo del caso.","Auzitegi Gorenak helegitea ez zuen onartu, auziaren funtsa aztertu gabe.",actuación judicial,alta,"SRC-055 pp. 33-35; SRC-026; SRC-036",contrastado,publicable,"Diferenciar inadmisión procesal y valoración del fondo."
CLM-011,"Consideramos que el recorrido seguido ha impedido discutir en juicio las calificaciones más graves y seguimos reclamando un proceso con todas las garantías.","Egindako ibilbideak kalifikazio larrienak epaiketan eztabaidatzea eragotzi duela uste dugu, eta berme guztietako prozesua eskatzen jarraitzen dugu.",reivindicación,alta,"SRC-055 pp. 31-35; SRC-056 pp. 28-32; SRC-057 pp. 32-41",primaria para la posición familiar,publicable en primera persona,"No presentar como conclusión de un tribunal."
CLM-012,"Antes de la muerte de Kerman existían actuaciones y advertencias relacionadas con la violencia en el acceso al local.","Kerman hil aurretik, lokaleko sarrerako indarkeriari lotutako jarduketak eta ohartarazpenak zeuden.",antecedente institucional,alta,"SRC-057 pp. 4-7; SRC-058 pp. 2-3; resolución Ararteko 2026R-1367-25; SRC-037",parcialmente confirmado por el Ararteko; documentos policiales originales pendientes,publicable con formulación limitada,"No publicar cifras agregadas no verificadas ni atribuir causalidad directa."
CLM-013,"El Ararteko recomendó al Ayuntamiento responder de manera expresa, motivada e íntegra y mejorar el control preventivo de los locales de ocio.","Arartekoak Udalari berariazko erantzun arrazoitua eta osoa ematea eta aisialdiko lokalen prebentzio-kontrola hobetzea gomendatu zion.",fuente oficial,alta,"Resolución Ararteko 2026R-1367-25; SRC-058 pp. 1-4",confirmado por fuente oficial,publicable,"Redacción neutral y precisa."
CLM-014,"Consideramos insuficiente la respuesta judicial e institucional y trabajamos para que se revise, se explique y no vuelva a repetirse una situación similar.","Erantzun judizial eta instituzionala nahikoa ez dela uste dugu, eta egoera berrikusi, azaldu eta antzekorik berriro gerta ez dadin lan egiten dugu.",reivindicación y misión,alta,"SRC-055 pp. 31-43; SRC-057 pp. 40-42; SRC-058 pp. 4-5",primaria para la posición y misión,publicable en primera persona,"Cierre del relato y conexión con apoyo y prevención."
