asset_id,local_name,url,shortcode,author_account,published_at,downloaded_at,resource_type,language,neutral_description,identifiable_people,probable_rights_holder,rights_and_consent,crop_or_adapt,sensitivity,alt_es_provisional,alt_eu_provisional,status,proposed_use,sha256
"AST-001","association-candidates/profile-justizia-kermanentzat-silhouette.jpg","https://www.instagram.com/justizia.kermanentzat/?hl=es","profile","@justizia.kermanentzat","PENDIENTE DE VERIFICACIÓN","2026-07-20","imagen de perfil 100x100","sin texto","Silueta gráfica negra de un rostro sobre fondo rojo.","La silueta representa a Kerman; identidad a confirmar.","Egia Kermanentzat Elkartea o autor del diseño, por confirmar.","PENDIENTE: autoría, permiso y aprobación familiar.","PENDIENTE","media","Silueta negra de un rostro sobre fondo rojo.","Aurpegi baten silueta beltza hondo gorriaren gainean.","candidato","Identidad, cabecera y favicon solo tras recibir original vectorial.","a5d8059839a2d6dae5448d7904e759599713897c12b3bd6e4e337d5e76100a46"
"AST-002","association-candidates/DR4v2jgCMpq-foundational-campaign-piece.jpg","https://www.instagram.com/justizia.kermanentzat/p/DR4v2jgCMpq/","DR4v2jgCMpq","@justizia.kermanentzat","2025-12-05","2026-07-20","gráfica de campaña 640x640","eu/es","Pieza fundacional roja y negra con retrato gráfico y lema.","Representación de Kerman.","Cuenta de la iniciativa o autor del diseño, por confirmar.","PENDIENTE: autoría, permiso, exactitud del texto y aprobación familiar.","PENDIENTE","alta por afirmaciones sensibles incorporadas","Pieza gráfica roja y negra de la campaña de justicia para Kerman.","Kermanentzat justizia eskatzeko kanpainaren pieza grafiko gorri eta beltza.","candidato","Referencia de identidad; no reutilizar el texto sin revisión jurídica.","030dbc41320507ca44fbc33ca751df5bc7dd7c074546ce117295a2999b827fcf"
"AST-003","association-candidates/DR5CqFOiFV0-bilingual-gathering-poster.jpg","https://www.instagram.com/justizia.kermanentzat/p/DR5CqFOiFV0/","DR5CqFOiFV0","@justizia.kermanentzat","2025-12-05","2026-07-20","cartel 640x640","eu/es","Cartel bilingüe de una concentración en la plaza del Arca.","Representación gráfica de Kerman.","Cuenta de la iniciativa o autor del diseño, por confirmar.","PENDIENTE: autoría y permiso; convocatoria ya pasada.","PENDIENTE","baja","Cartel bilingüe de una concentración por Kerman en la plaza del Arca.","Kermanen alde Arka plazan egindako elkarretaratzearen kartel elebiduna.","candidato","Archivo de eventos o referencia del sistema gráfico.","4f43603ea5cebf0d5abb8a3f305506685943a219f6bce358002bb3810ef261d1"
"AST-004","association-candidates/DZIBkFFoe3C-association-presentation-eu.jpg","https://www.instagram.com/justizia.kermanentzat/p/DZIBkFFoe3C/","DZIBkFFoe3C","@justizia.kermanentzat","2026-06-03","2026-07-20","cartel 640x640","eu","Cartel en euskera de presentación de Egia Kermanentzat Elkartea.","Representación gráfica de Kerman.","Cuenta de la iniciativa o autor del diseño, por confirmar.","PENDIENTE: autoría, permiso y datos legales de la asociación.","PENDIENTE","baja","Cartel en euskera de la presentación de Egia Kermanentzat Elkartea.","Egia Kermanentzat Elkartearen aurkezpenaren euskarazko kartela.","candidato","Historia de la asociación y referencia gráfica.","1b1eddb498858cf2400d81c6cafd92693092b9cd75e7bcd97171411778b0d4bb"
"AST-005","association-candidates/DZVEn3UIqV6-association-presentation-es.jpg","https://www.instagram.com/justizia.kermanentzat/p/DZVEn3UIqV6/","DZVEn3UIqV6","@justizia.kermanentzat","2026-06-08","2026-07-20","cartel 640x640","es","Cartel en castellano de presentación de Egia Kermanentzat Elkartea.","Representación gráfica de Kerman.","Cuenta de la iniciativa o autor del diseño, por confirmar.","PENDIENTE: autoría, permiso y datos legales de la asociación.","PENDIENTE","baja","Cartel en castellano de la presentación de Egia Kermanentzat Elkartea.","Egia Kermanentzat Elkartearen aurkezpenaren gaztelaniazko kartela.","candidato","Historia de la asociación y referencia gráfica.","871ab390397279282f0845373a4461aabd929f678b5dcdc9bfbd50e03bf3afbe"
"AST-006","association-candidates/DWe5igOiKLT-community-banners.jpg","https://www.instagram.com/justizia.kermanentzat/p/DWe5igOiKLT/","DWe5igOiKLT","@justizia.kermanentzat","2026-03-29","2026-07-20","fotografía 480x319","sin texto dominante","Fotografía exterior con pancartas de la iniciativa.","Sí; grupo y transeúntes potencialmente identificables.","Fotógrafo o medio no identificado.","PENDIENTE: autoría, cesión y consentimiento o base de publicación.","PENDIENTE","media","Pancartas de la iniciativa colocadas durante una actividad comunitaria.","Ekimenaren pankartak komunitate-jarduera batean jarrita.","candidato","Memoria comunitaria, solo con original y permisos.","06a59744ae9686e2a375cca36555dde45403c2f90cfce77c9808c2c6d58af99b"
"AST-007","association-candidates/DWSH-EtiM-U-korrika-call-poster.jpg","https://www.instagram.com/justizia.kermanentzat/p/DWSH-EtiM-U/","DWSH-EtiM-U","@justizia.kermanentzat","2026-03-24","2026-07-20","cartel 640x640","eu","Cartel de convocatoria para un kilómetro dedicado a Kerman en Korrika.","Representación gráfica de Kerman.","Cuenta de la iniciativa; marcas de Korrika sujetas a terceros.","PENDIENTE: autoría, marcas y permiso de reutilización.","PENDIENTE","baja","Cartel de una convocatoria de Korrika dedicada a Kerman.","Kermani eskainitako Korrika-deialdi baten kartela.","candidato","Archivo de convocatorias; verificar marcas.","184a17ef912c1c167a1bc47a2ffd278f8a0be4704439f10cb97e76de5064a870"
"AST-008","association-candidates/DSOK4j9iDkc-gathering-documentary-cover.jpg","https://www.instagram.com/justizia.kermanentzat/p/DSOK4j9iDkc/","DSOK4j9iDkc","@justizia.kermanentzat","2025-12-13","2026-07-20","fotografía de carrusel 360x360","eu/es en la publicación","Portada fotográfica de una concentración en Vitoria-Gasteiz.","Sí; multitud potencialmente identificable.","GasteizBerri según el pie de la publicación, por confirmar.","PENDIENTE: permiso del medio/fotógrafo y revisión de imagen de participantes.","PENDIENTE","media","Personas reunidas en una concentración por Kerman en Vitoria-Gasteiz.","Pertsonak Kermanen aldeko elkarretaratze batean Gasteizen.","candidato","Solo referencia hasta obtener original, crédito y permiso.","3c38526523e452369ddc9b89e67e38a262e7c2687f49f79affec8c9755dc1778"
"AST-009","association-candidates/DVF-o2FiAfu-anniversary-commemoration.jpg","https://www.instagram.com/justizia.kermanentzat/p/DVF-o2FiAfu/","DVF-o2FiAfu","@justizia.kermanentzat","2026-02-23","2026-07-20","pieza conmemorativa 543x542","eu","Pieza gráfica del aniversario con lema en euskera.","Representación de Kerman.","Cuenta de la iniciativa o autor del diseño, por confirmar.","PENDIENTE: autoría, permiso y aprobación familiar.","PENDIENTE","media por contexto de duelo","Pieza conmemorativa en rojo y negro dedicada a Kerman.","Kermani eskainitako oroitzapenezko pieza gorri eta beltza.","candidato","Memoria y archivo de aniversarios.","6ab6ae010d99254ef97c753224241a73d2ad77e1bcdb4dce547ee408f7dfe543"
"AST-010","third-party-reference/DSPhi-SjdFQ-hala-bedi-gallery-cover.jpg","https://www.instagram.com/hala.bedi/p/DSPhi-SjdFQ/","DSPhi-SjdFQ","@hala.bedi","2025-12-14","2026-07-20","fotografía de galería 576x575","eu","Portada de una galería de Hala Bedi sobre una concentración.","Sí; personas potencialmente identificables.","Hala Bedi o fotógrafo acreditado.","No autorizado; referencia interna de tercero.","No","media","Galería de Hala Bedi sobre una concentración por Kerman.","Hala Bediren galeria, Kermanen aldeko elkarretaratze bati buruzkoa.","referencia interna","Aparición en medios: enlazar, no republicar.","46a6cd6e07891ba2707cfc7ad65faf2dc1feb75dfe0ad8d8d393fae560c51b28"
